,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1138,50,No,Travel_Frequently,1234,,20,5,Medical,1,,,,41,3,4,Healthcare Representative,3,Married,11245,20689,2,Y,Yes,15,3,,80,1,32,3,,,8,12,
1139,,No,Travel_Rarely,634,Research & Development,5,4,Other,1,,2,,,4,,Research Scientist,4,,3312,18783,,Y,No,17,3,4,,2,,,3,3,2,0,
1140,44,No,,1313,Research & Development,,,Medical,1,1608,2,Female,31,3,5,Research Director,4,Divorced,19049,3549,0,Y,Yes,14,3,4,80,1,23,4,,22,7,1,10
1141,30,No,Travel_Rarely,241,Research & Development,7,3,Medical,1,1609,2,Male,48,2,1,Research Scientist,2,Married,,5348,,Y,No,,3,2,,,6,3,,6,4,1,1
1142,45,No,Travel_Rarely,1015,Research & Development,5,5,Medical,1,1611,3,,50,,,,1,Single,5769,23447,1,,Yes,14,3,1,,,10,3,3,10,7,1,
1143,45,No,Non-Travel,,Sales,26,3,Marketing,,1612,1,Male,52,2,2,Sales Executive,1,Married,4385,24162,1,,No,15,3,1,80,1,10,2,3,10,7,,5
1144,31,No,,715,Sales,,4,Other,1,1613,4,Male,54,3,2,Sales Executive,1,Single,5332,,,Y,No,13,3,4,,0,10,3,3,5,2,0,3
1145,,No,Travel_Rarely,559,Research & Development,12,,Life Sciences,1,1614,3,Female,76,,2,Manufacturing Director,3,Married,4663,12421,9,,Yes,,3,2,80,2,7,2,3,3,2,1,1
1146,34,No,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,,,Male,,4,2,Manufacturing Director,4,Divorced,4724,17000,,Y,,13,3,,80,1,9,3,3,9,7,7,2
1147,49,No,Travel_Rarely,722,Research & Development,,4,Life Sciences,,1617,3,Female,,3,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,3,,80,1,,3,2,,6,1,4
1148,,No,Travel_Rarely,1387,,10,,Medical,,1618,2,Male,,3,,,1,Married,5377,3835,,,No,,3,4,,3,10,,,,7,7,7
1149,27,No,,1302,Research & Development,19,3,Other,1,1619,4,Male,67,2,1,Laboratory Technician,1,Divorced,4066,,,Y,No,,3,1,80,2,7,3,3,7,7,0,7
1150,35,No,Travel_Rarely,,Research & Development,18,5,,1,1621,2,Male,48,4,2,Research Scientist,1,Married,5208,,,Y,No,11,3,4,,0,16,2,3,16,15,,
1151,,No,Travel_Rarely,580,Research & Development,27,,Medical,1,1622,2,Female,39,1,2,Manufacturing Director,1,Divorced,4877,,0,,No,21,4,2,80,,,5,2,5,,0,0
1152,21,No,Travel_Rarely,546,Research & Development,5,1,Medical,1,1623,3,Male,97,3,,Research Scientist,4,Single,3117,26009,1,Y,No,,,,80,0,3,2,3,2,2,2,2
1153,18,Yes,Travel_Frequently,,,3,2,,1,1624,2,Female,70,,1,Sales Representative,4,Single,1569,18420,1,Y,Yes,12,3,3,,0,0,2,4,0,,0,0
1154,47,No,Travel_Rarely,1176,Human Resources,26,,Life Sciences,1,,4,Female,98,,,Manager,3,,,5220,,Y,No,11,3,3,80,1,,2,3,5,2,1,0
1155,39,No,,170,Research & Development,,2,Medical,,,3,Male,76,2,,Laboratory Technician,3,Divorced,3069,,0,,No,15,3,4,80,1,11,3,3,10,8,,7
1156,40,No,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,1628,,,80,2,3,Manufacturing Director,3,Married,,,1,Y,No,13,3,4,80,,18,2,3,18,15,,
1157,35,No,Non-Travel,208,,8,,Life Sciences,1,,3,Female,,,,Healthcare Representative,,Married,4148,,1,Y,No,12,,4,80,1,15,5,3,14,,2,9
1158,37,No,,671,Research & Development,19,3,Life Sciences,,1631,3,Male,85,3,2,,3,Married,5768,26493,,Y,No,17,3,1,80,,,2,,4,,0,
1159,39,No,Travel_Frequently,711,Research & Development,4,,Medical,,1633,1,Female,81,3,2,Manufacturing Director,3,Single,5042,3140,0,,,13,3,,80,0,10,2,,9,,3,
1160,45,No,Travel_Rarely,1329,,2,2,Other,1,1635,4,Female,59,2,2,Manufacturing Director,4,Divorced,5770,5388,1,Y,,19,3,1,80,2,10,,,10,7,,9
1161,38,No,Travel_Rarely,397,Research & Development,2,,Medical,1,1638,4,Female,,2,3,,3,Married,7756,14199,3,Y,Yes,19,3,4,80,1,10,,4,5,4,,
1162,35,Yes,Travel_Rarely,737,Sales,10,3,Medical,,1639,4,,,2,3,,1,Married,,21530,9,Y,,17,3,3,,0,15,,3,13,12,6,0
1163,37,No,Travel_Rarely,,Research & Development,10,3,Medical,1,1640,2,Female,,3,1,Research Scientist,2,Married,3936,9953,1,Y,No,11,3,1,80,1,8,2,1,8,,7,7
1164,40,No,,448,Research & Development,16,3,Life Sciences,1,1641,3,Female,84,3,3,Manufacturing Director,4,Single,7945,19948,,,Yes,15,3,4,80,0,18,2,2,4,2,3,3
1165,44,No,Travel_Frequently,602,,,,Human Resources,1,1642,,,,3,2,,4,Married,5743,10503,4,Y,,11,3,3,80,0,14,3,3,10,,0,
1166,48,No,Travel_Frequently,365,,4,5,,1,1644,3,,89,2,4,Manager,4,,15202,5602,2,Y,No,25,,2,80,1,23,3,3,2,,2,
1167,35,Yes,Travel_Rarely,763,Sales,15,2,,1,,,Male,59,1,2,,4,Divorced,5440,22098,,,Yes,,3,4,,2,7,2,,,2,2,2
1168,24,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,,1,Female,32,3,1,Research Scientist,4,Single,3760,,1,,Yes,13,,3,,0,6,2,,6,3,1,3
1169,,No,Travel_Rarely,486,Research & Development,8,3,Medical,1,1647,2,,,4,,Research Scientist,3,Married,3517,,7,Y,No,17,3,1,80,,,0,3,3,2,0,2
1170,,No,Travel_Frequently,591,Research & Development,2,3,Medical,,1648,4,Male,87,3,1,Research Scientist,4,Single,2580,,2,Y,No,13,,,80,0,6,,2,4,2,1,2
1171,,Yes,Travel_Rarely,,Research & Development,7,,Life Sciences,1,1649,1,,73,3,1,Laboratory Technician,1,,2166,,3,Y,Yes,14,3,2,80,0,,3,1,4,,0,3
1172,29,No,Travel_Rarely,469,Sales,10,3,Medical,1,,3,Male,42,2,2,Sales Executive,3,,,23413,9,Y,No,11,3,,80,0,,2,3,5,,,4
1173,,No,Travel_Rarely,711,Research & Development,5,4,,,1651,2,Female,42,3,3,Healthcare Representative,,Married,8008,22792,4,Y,No,,3,3,80,2,9,6,3,3,,0,2
1174,25,No,Travel_Frequently,,Research & Development,2,,Life Sciences,1,,4,Male,77,4,2,,3,Divorced,5206,4973,1,Y,No,17,,3,80,2,7,,3,7,,0,
1175,39,No,Travel_Rarely,492,Research & Development,12,3,Medical,1,1654,4,Male,66,3,2,Manufacturing Director,,Married,5295,,4,Y,,,4,3,,,,3,,5,4,1,0
1176,49,No,Travel_Rarely,301,Research & Development,,4,Other,1,1655,1,,72,3,4,Research Director,2,,16413,3498,3,Y,No,16,3,2,,,27,2,3,4,,1,2
1177,50,No,Travel_Rarely,813,Research & Development,17,,Life Sciences,1,1656,,Female,50,2,3,Research Director,1,Divorced,,21981,5,,No,15,,3,80,3,19,3,3,14,11,,11
1178,20,No,Travel_Rarely,1141,,2,,Medical,1,,3,Female,31,,,Sales Representative,,Single,2783,,1,Y,No,19,3,1,80,0,2,3,3,2,2,,2
1179,34,No,Travel_Rarely,1130,,,3,Life Sciences,1,1658,,Female,66,3,2,,2,Divorced,,,1,Y,No,,3,,80,1,11,2,,11,8,7,
1180,36,No,Travel_Rarely,311,Research & Development,7,,Life Sciences,1,1659,1,Male,77,,1,,2,Single,2013,10950,2,Y,No,11,3,3,80,0,,,3,4,,1,3
1181,49,No,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,,3,Female,,2,4,,3,Married,13966,11652,2,Y,Yes,,3,2,80,1,30,3,3,15,11,2,12
1182,36,No,Non-Travel,,Research & Development,1,4,Medical,,1662,4,Female,33,2,2,Manufacturing Director,3,Married,4374,15411,0,Y,No,,,,80,,,6,3,3,2,1,
1183,36,No,Travel_Rarely,1040,Research & Development,,,Life Sciences,1,,4,,,4,2,Healthcare Representative,1,Divorced,6842,26308,6,Y,,20,4,1,80,1,,3,3,5,4,,
1184,,No,Travel_Rarely,584,Research & Development,22,5,Medical,1,,2,Female,91,3,4,Manager,3,Married,17426,,3,Y,No,25,4,3,80,1,36,6,3,10,8,,
1185,43,No,Travel_Rarely,1291,Research & Development,15,,Life Sciences,1,1666,3,Male,65,2,4,Research Director,3,Married,17603,3525,,Y,No,24,4,1,80,1,,3,3,14,,6,11
1186,35,Yes,,880,,12,4,Other,1,1667,,Male,,3,2,Sales Executive,4,,4581,10414,3,Y,,24,4,1,80,,13,2,4,11,9,6,7
1187,38,No,Travel_Frequently,1189,Research & Development,1,3,Life Sciences,1,1668,4,Male,,3,2,Research Scientist,4,Married,4735,9867,7,Y,,15,3,4,80,2,,4,4,13,11,,9
1188,29,No,Travel_Rarely,991,Sales,5,,Medical,1,1669,,,43,2,,Sales Executive,,Divorced,4187,3356,1,Y,Yes,13,3,2,80,1,10,3,2,10,0,,9
1189,33,No,Travel_Rarely,,Sales,2,4,Medical,1,1670,4,Male,93,3,2,,4,,5505,,1,Y,,14,3,3,80,2,6,5,3,6,2,0,4
1190,32,No,Travel_Rarely,977,Research & Development,,3,Medical,1,,4,Male,45,3,,Research Scientist,2,Divorced,,25518,,Y,No,13,3,3,,2,,,2,9,5,1,6
1191,,No,Travel_Rarely,1112,Sales,5,4,,,1673,1,Female,67,3,2,Sales Executive,4,Married,5476,22589,1,,No,11,3,,80,2,,,3,10,0,0,2
1192,49,No,Travel_Rarely,464,Research & Development,16,3,Medical,1,1674,4,Female,74,3,1,Laboratory Technician,,Divorced,,24941,4,Y,Yes,16,3,2,80,1,17,2,2,2,,,
1193,,No,Travel_Frequently,148,Research & Development,,,Medical,1,,4,Female,42,2,1,Laboratory Technician,2,Single,,23826,,Y,No,,,,80,0,4,3,3,4,3,3,3
1194,,No,Travel_Rarely,1225,Sales,2,4,,1,1676,,Female,47,4,4,,2,,15972,21086,6,Y,No,14,,3,80,,,2,3,3,,,2
1195,49,No,Travel_Rarely,,Research & Development,,3,Life Sciences,1,1677,3,Male,36,,4,Manager,,Single,,,4,,No,14,3,1,80,,23,2,3,,7,0,0
1196,41,No,Travel_Rarely,1206,Sales,,2,Life Sciences,1,1678,,Male,80,3,3,,3,Single,7082,11591,,Y,,16,3,4,80,0,21,2,3,2,0,0,2
1197,20,No,Travel_Rarely,727,Sales,9,1,Life Sciences,1,1680,4,Male,54,3,,Sales Representative,,Single,2728,21082,1,Y,No,11,3,1,,0,,3,3,2,2,0,2
1198,33,No,Non-Travel,,Sales,16,3,Life Sciences,1,1681,,Female,36,3,2,,4,Divorced,5368,,,,Yes,25,4,3,80,1,7,2,3,6,5,1,2
1199,36,No,Travel_Rarely,1351,,26,4,Life Sciences,1,1682,,Male,80,3,2,Healthcare Representative,3,Married,5347,7419,6,Y,No,14,3,2,80,,10,,2,3,2,,2
1200,44,No,Travel_Rarely,,,1,3,Life Sciences,1,1683,3,Female,44,3,1,Human Resources,,Divorced,3195,,4,Y,Yes,18,3,1,80,3,8,2,3,2,,2,2
1201,23,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,1,1684,4,Male,,2,1,Laboratory Technician,3,Single,3989,20586,,Y,Yes,11,3,,,0,5,2,,5,4,1,2
1202,38,No,Travel_Rarely,1495,,4,2,Medical,1,1687,4,,87,3,1,Laboratory Technician,3,Married,3306,,7,Y,No,19,3,4,,1,7,5,2,0,0,0,0
1203,,No,,1395,Research & Development,24,4,Medical,1,1689,,Male,48,4,3,Healthcare Representative,4,Married,7005,3458,3,,No,15,3,3,,0,,2,3,4,3,,2
1204,48,Yes,Travel_Frequently,708,,7,,Medical,1,1691,4,Female,95,3,1,Sales Representative,,Married,,,2,Y,Yes,,3,3,80,2,19,3,,,7,7,7
1205,32,Yes,Travel_Rarely,1259,Research & Development,2,4,Life Sciences,1,1692,,Male,,3,1,Laboratory Technician,,,,24852,1,Y,No,12,3,1,80,0,1,2,3,,0,0,0
1206,,No,,786,Research & Development,7,3,Medical,,1693,4,Male,76,3,1,,,Single,2570,11925,1,,No,20,4,3,80,0,7,5,3,7,7,5,7
1207,,No,,,Research & Development,,,,1,1694,,Male,94,,,Research Scientist,2,Divorced,3537,23737,,Y,No,12,3,4,80,1,8,1,3,4,2,1,2
1208,34,No,Travel_Rarely,1157,Research & Development,5,2,Medical,1,1696,,Male,57,,,Laboratory Technician,4,,3986,11912,1,,No,14,3,,80,1,15,3,,15,10,4,13
1209,60,No,,370,Research & Development,1,4,,1,,3,,,1,3,Healthcare Representative,4,,10883,20467,3,Y,No,20,4,3,80,,19,2,4,1,,0,0
1210,33,No,Travel_Rarely,,Research & Development,21,3,Medical,1,1698,,Male,79,4,1,Laboratory Technician,2,,2028,13637,1,,No,18,3,4,80,3,,6,3,,11,2,13
1211,37,No,Travel_Frequently,1278,Sales,1,4,Medical,,1700,,Male,,1,,,4,Divorced,9525,7677,1,Y,No,14,3,3,80,2,6,,2,6,3,1,3
1212,,No,Travel_Rarely,678,Research & Development,19,3,,1,1701,2,,35,2,,Research Scientist,,Married,2929,,,Y,,12,,2,,,10,3,,10,9,8,
1213,23,Yes,Travel_Rarely,,Sales,7,3,Life Sciences,,1702,,Male,99,3,1,Sales Representative,4,Divorced,2275,,,Y,Yes,,,2,80,,,2,,3,,,
1214,44,No,Travel_Rarely,921,Research & Development,2,,Life Sciences,1,,3,Female,,4,,Healthcare Representative,4,,7879,14810,1,Y,Yes,,3,2,80,1,9,,3,8,7,6,7
1215,35,No,Travel_Frequently,146,Research & Development,2,4,Medical,1,1704,,Male,79,2,1,Research Scientist,,Single,,,,,Yes,14,3,3,80,,6,2,,5,4,,
1216,43,No,Travel_Rarely,1179,Sales,2,3,,1,1706,4,,73,,,Sales Executive,,Married,,6069,1,Y,Yes,17,3,1,80,1,10,3,3,10,,8,
1217,24,No,Travel_Rarely,581,,9,3,Medical,1,1707,3,Male,,,1,Research Scientist,3,Married,4401,17616,1,,No,16,,4,80,1,5,1,3,5,3,0,4
1218,,No,Travel_Rarely,918,Sales,6,3,Marketing,1,1708,,Male,35,3,3,Sales Executive,,Single,9241,15869,1,Y,No,12,3,,80,0,10,3,3,10,8,8,7
1219,29,No,Travel_Rarely,1082,,9,4,Medical,1,1709,4,,43,3,1,,3,Married,2974,,,Y,No,17,,3,80,1,9,2,3,5,3,1,
1220,36,No,Travel_Rarely,530,,2,4,,1,1710,3,Female,51,3,2,Sales Representative,4,Single,4502,7439,3,Y,,,3,,80,0,17,2,2,,7,6,7
1221,45,No,Non-Travel,1238,Research & Development,1,1,,1,1712,3,Male,74,2,3,Healthcare Representative,,Married,10748,3395,3,,No,23,4,4,80,1,25,3,2,23,15,14,
1222,24,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,,1714,4,Male,58,,1,,3,Married,1555,11585,1,,No,11,3,3,80,1,1,2,3,1,,0,0
1223,,Yes,,,Sales,9,3,Life Sciences,1,1716,3,Male,82,1,4,Sales Executive,3,Married,12936,,7,Y,No,,3,,80,0,25,3,1,23,5,14,10
1224,26,No,,390,Research & Development,,4,Medical,1,1718,4,Male,62,1,1,Laboratory Technician,3,Married,,6217,1,Y,No,,3,3,80,3,3,3,4,3,2,0,2
1225,45,No,Travel_Rarely,1005,Research & Development,28,2,,,1719,4,Female,48,,4,Research Director,,Single,,17119,1,Y,,11,3,,80,0,21,2,3,21,6,8,
1226,32,No,,,Research & Development,10,,Life Sciences,1,1720,1,,56,3,1,,,,3433,17360,,Y,,,3,,80,1,10,,,,,1,
1227,31,No,,,Research & Development,2,,Life Sciences,,1721,2,Male,69,3,1,Laboratory Technician,3,Married,3477,,1,Y,No,,3,4,80,1,,2,,5,2,0,3
1228,41,No,Non-Travel,,Human Resources,4,3,Human Resources,,1722,3,Male,60,1,2,Human Resources,2,Married,6430,20794,6,Y,No,,3,2,80,1,10,4,,3,2,1,2
1229,40,No,Travel_Rarely,369,Research & Development,8,2,Life Sciences,1,1724,2,,92,,2,Manufacturing Director,1,Married,6516,5041,2,Y,Yes,16,3,2,,1,18,3,3,1,0,,
1230,,No,,,Research & Development,29,1,Medical,1,1725,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907,3622,,Y,No,13,3,,80,3,,2,4,6,,1,
1231,46,No,Travel_Rarely,717,,,4,,,,3,Male,34,3,,Healthcare Representative,2,,5562,9697,6,Y,No,14,3,4,,0,19,3,3,10,7,0,9
1232,35,No,,,Research & Development,27,4,Life Sciences,1,1728,4,Male,,3,2,,3,,6883,5151,,Y,,16,,2,80,1,17,,3,,7,0,7
1233,30,No,Travel_Rarely,793,,16,1,Life Sciences,1,1729,,,33,3,1,Research Scientist,4,Married,2862,,1,,No,12,3,2,80,1,10,,2,10,0,0,8
1234,47,No,,543,Sales,2,,,1,1731,3,Male,87,,,Sales Executive,2,Married,,3536,7,,No,11,3,4,80,,4,3,1,1,0,0,0
1235,46,No,,1277,,2,3,,,1732,3,Male,74,,,Sales Executive,4,Divorced,10368,5596,4,Y,Yes,12,3,2,80,1,,5,2,,,0,3
1236,36,Yes,Travel_Rarely,1456,Sales,13,5,Marketing,1,,,Male,96,2,2,,1,Divorced,6134,8658,5,Y,,13,3,2,80,,,3,3,2,2,2,
1237,32,Yes,Travel_Rarely,964,,1,2,,1,1734,,Male,34,1,,Sales Executive,2,,6735,12147,,,,15,3,2,80,0,,2,3,0,0,0,0
1238,23,No,Travel_Rarely,,Research & Development,,,Medical,,1735,3,Female,,3,1,Laboratory Technician,2,,3295,,1,Y,No,,3,3,80,0,3,3,1,,2,1,2
1239,31,No,Travel_Frequently,163,Research & Development,24,1,Technical Degree,1,,,Female,30,3,2,Manufacturing Director,4,,5238,,2,Y,No,20,4,,80,0,9,3,2,5,4,,4
1240,39,No,,,Research & Development,,3,Life Sciences,,1737,,,77,,2,,4,Married,6472,,1,Y,Yes,15,3,4,80,1,9,,3,9,8,5,8
1241,32,No,Travel_Rarely,371,Sales,19,3,Life Sciences,,1739,4,Male,80,1,3,Sales Executive,3,Married,9610,3840,3,Y,No,,3,3,80,1,10,,1,,3,0,
1242,40,No,Travel_Rarely,611,Sales,7,4,Medical,,1740,2,Male,88,3,5,Manager,2,Single,19833,,1,Y,,,,,80,,21,,2,21,8,12,8
1243,45,No,Travel_Rarely,,Human Resources,,,Life Sciences,1,1744,3,Female,56,1,3,Human Resources,3,Married,9756,6595,,Y,No,21,,3,80,,9,2,4,5,0,,3
1244,30,No,Travel_Frequently,1312,Research & Development,2,,Technical Degree,1,1745,4,Female,78,,1,Research Scientist,1,Single,4968,,,Y,,16,3,4,80,0,10,2,3,9,7,0,
1245,,No,Travel_Frequently,897,,10,3,Medical,,1746,1,Male,,3,1,Human Resources,4,Married,2145,2097,,Y,No,14,3,4,80,1,3,2,3,2,2,2,1
1246,30,Yes,Travel_Frequently,600,Human Resources,,3,Human Resources,1,1747,,,66,2,1,Human Resources,4,Divorced,2180,9732,6,Y,No,11,3,3,80,,6,0,,4,2,1,
1247,31,No,Travel_Rarely,,Sales,5,,Technical Degree,1,1749,,Male,,3,2,Sales Executive,3,Married,8346,20943,1,Y,No,,3,3,80,1,,3,3,,2,,2
1248,27,No,Travel_Rarely,1054,Research & Development,8,,,1,1751,3,Female,,3,,Research Scientist,,Single,3445,6152,1,Y,No,11,3,3,80,0,6,,,6,2,1,4
1249,29,Yes,Travel_Rarely,428,Sales,,3,Marketing,,1752,2,Female,52,,,Sales Representative,2,Single,,,1,Y,No,13,3,3,80,0,,3,3,2,2,2,
1250,,No,Travel_Frequently,461,Research & Development,1,,Life Sciences,1,,4,Male,70,4,2,Healthcare Representative,3,Single,6294,23060,8,Y,Yes,12,3,4,80,0,10,5,4,3,2,0,2
1251,30,No,Travel_Rarely,979,,15,,Marketing,1,1754,3,Male,94,2,3,Sales Executive,1,Divorced,7140,,2,Y,No,11,3,1,,1,12,2,,7,,1,
1252,34,No,,,,2,4,,1,1755,4,Male,97,4,1,Research Scientist,4,,2932,5586,0,Y,Yes,14,,1,80,3,6,3,,5,0,1,2
1253,33,No,Non-Travel,1283,Sales,2,3,,,1756,,Female,,3,,Sales Executive,,Single,,10697,8,Y,,15,,,80,0,13,2,,11,7,1,
1254,49,No,Travel_Rarely,1313,Sales,11,4,Marketing,,,4,,80,3,,Sales Executive,4,Single,4507,8191,3,Y,No,12,,3,80,,8,1,4,,1,0,4
1255,33,Yes,Travel_Rarely,211,Sales,16,,,1,1758,1,Female,74,3,3,Sales Executive,,Single,8564,10092,2,Y,Yes,20,4,3,80,0,11,2,,0,,,0
1256,38,No,Travel_Frequently,594,Research & Development,2,2,,1,1760,,,75,2,,Laboratory Technician,2,Married,2468,,4,,No,14,3,2,80,1,,4,2,6,1,0,5
1257,,Yes,Travel_Rarely,1079,Sales,16,4,,1,1761,1,Male,70,3,3,Sales Executive,3,Married,8161,19002,2,Y,,13,3,1,80,3,10,2,3,1,0,,
1258,29,No,,590,Research & Development,4,3,Technical Degree,1,1762,4,,,2,1,Research Scientist,,Divorced,2109,10007,,Y,No,13,3,3,80,1,,2,3,1,0,,0
1259,30,No,Travel_Rarely,305,Research & Development,16,3,Life Sciences,1,1763,3,Male,,4,2,Healthcare Representative,3,Married,5294,9128,3,,No,16,3,,80,1,,3,3,7,,1,7
1260,,No,Non-Travel,,Research & Development,5,4,Technical Degree,1,1764,2,,65,3,1,Research Scientist,2,Single,2718,17674,2,Y,No,14,,2,80,0,12,3,3,7,,0,7
1261,38,No,Travel_Rarely,,Research & Development,18,3,Medical,1,,2,Male,60,1,2,Healthcare Representative,4,,5811,24539,3,,Yes,,3,3,80,1,15,,3,1,0,1,0
1262,43,Yes,Travel_Frequently,807,Research & Development,17,,Technical Degree,,1767,,Male,38,2,1,Research Scientist,,Married,2437,15587,9,Y,Yes,16,3,4,80,,,4,3,1,0,0,0
1263,42,No,Travel_Rarely,,Research & Development,12,3,Medical,1,1768,2,Male,57,3,1,Laboratory Technician,2,Divorced,2766,,,Y,No,,,2,,,7,,2,5,3,,4
1264,,No,Travel_Rarely,478,,2,3,,1,1770,3,Male,60,,5,Research Director,1,Married,19038,19805,8,Y,No,,,2,80,3,,2,3,1,0,0,0
1265,,No,Non-Travel,775,Research & Development,4,3,Technical Degree,1,,4,Male,90,3,2,Research Scientist,2,Divorced,3055,6194,5,Y,No,15,3,4,80,2,11,2,2,9,8,1,7
1266,41,No,Travel_Rarely,548,Research & Development,9,4,Life Sciences,1,1772,3,Male,94,3,1,Laboratory Technician,1,Divorced,2289,20520,1,Y,,20,4,2,80,2,5,2,3,5,3,,4
1267,,No,,1375,Sales,10,3,Life Sciences,1,1774,,Male,87,3,,Sales Executive,,Divorced,4001,12313,,Y,Yes,,3,3,80,1,15,3,3,15,14,,7
1268,53,No,,661,Research & Development,1,4,,1,1775,1,Female,60,,4,Manufacturing Director,3,,,22308,4,Y,Yes,20,4,4,80,,27,2,,3,2,0,2
1269,43,No,Travel_Rarely,244,Human Resources,2,3,Life Sciences,,1778,2,Male,97,3,,,,Single,3539,5033,0,Y,No,13,3,2,80,0,10,,3,9,7,1,8
1270,34,No,Travel_Rarely,511,Sales,3,,,1,1779,4,Female,,,2,Sales Executive,,Single,6029,25353,,Y,No,12,,1,,,6,3,,,2,2,2
1271,21,Yes,Travel_Rarely,337,Sales,7,1,Marketing,,1780,2,Male,31,3,1,Sales Representative,2,Single,2679,4567,,Y,No,13,3,,80,,1,3,3,1,0,1,0
1272,38,No,,,Research & Development,6,2,Other,1,1782,4,Female,40,2,1,Laboratory Technician,3,Married,3702,16376,1,Y,No,,,,,1,5,3,3,,4,0,4
1273,22,Yes,Travel_Rarely,1294,,8,1,Medical,,1783,,Female,79,3,1,,1,Married,2398,15999,1,Y,,17,3,3,80,0,1,6,3,1,0,0,
1274,31,No,Travel_Rarely,196,Sales,29,,Marketing,1,1784,1,Female,91,2,2,Sales Executive,4,Married,5468,,1,Y,No,14,3,1,80,2,13,3,3,12,7,5,
1275,51,No,Travel_Rarely,942,Research & Development,3,3,Technical Degree,1,1786,,Female,53,3,3,Manager,3,Married,,,2,,No,11,,4,,0,,,3,2,2,2,
1276,37,No,Travel_Rarely,589,Sales,9,2,Marketing,1,,,,46,2,,Sales Executive,2,Married,4189,8800,,,No,14,3,1,80,2,,,3,5,2,0,3
1277,46,No,Travel_Rarely,734,Research & Development,2,4,,1,1789,,Male,46,3,5,Research Director,,Divorced,19328,14218,7,Y,Yes,,3,3,,1,,3,3,2,1,,2
1278,36,No,,1383,Research & Development,10,3,Life Sciences,1,1790,4,Male,,3,3,,1,Married,8321,25949,7,Y,Yes,13,3,,80,,15,1,,12,,5,7
1279,44,Yes,,,,1,2,Medical,1,1792,3,,,3,1,Research Scientist,,Divorced,2342,11092,1,Y,Yes,12,3,3,80,3,6,2,2,5,3,2,3
1280,37,No,,1239,Human Resources,8,2,Other,1,1794,3,Male,89,3,2,Human Resources,2,Divorced,4071,,,,No,13,3,,80,0,19,,2,10,0,4,7
1281,,Yes,,,Sales,27,3,,1,1797,3,Male,84,3,2,Sales Executive,,Single,5813,13492,1,,Yes,,,,80,0,,,3,10,7,7,7
1282,33,No,Travel_Rarely,867,Research & Development,8,4,Life Sciences,1,1798,4,Male,90,4,1,,,Married,,6076,,,No,19,3,,80,1,14,1,3,10,8,7,6
1283,,No,Travel_Rarely,1181,,1,,Life Sciences,,1799,3,Male,82,,,Research Scientist,4,Married,2044,,1,Y,,11,,3,,1,5,,4,5,3,0,3
1284,,No,Travel_Rarely,1253,Research & Development,,,Medical,1,1800,3,Male,65,3,3,Research Director,,,13464,7914,7,Y,No,21,4,3,80,0,9,3,3,4,3,,
1285,46,No,Non-Travel,849,Sales,26,2,Life Sciences,1,1801,2,Male,,2,,Sales Executive,2,Single,7991,25166,8,Y,No,15,,3,80,0,6,3,3,2,2,2,2
1286,40,No,,616,,2,2,Life Sciences,1,1802,3,Female,99,,,Laboratory Technician,1,,3377,,4,,No,17,,4,80,1,7,5,2,4,3,0,2
1287,42,No,Travel_Rarely,1128,Research & Development,13,3,,1,1803,2,Male,95,,2,,1,Married,5538,5696,5,Y,,,3,3,,,10,2,2,0,0,,0
1288,35,No,Non-Travel,1180,Research & Development,2,2,,1,1804,2,Male,90,3,2,Manufacturing Director,4,Divorced,5762,24442,2,Y,No,14,3,3,80,1,15,6,,,7,1,7
1289,38,No,Non-Travel,1336,Human Resources,2,3,Human Resources,1,1805,1,Male,100,3,1,,2,Divorced,2592,7129,5,,No,13,3,4,80,3,13,3,3,11,10,3,
1290,,Yes,Travel_Frequently,234,Research & Development,9,4,,1,1807,4,Male,93,3,2,Laboratory Technician,1,Married,5346,6208,4,Y,No,17,3,3,80,1,11,3,,7,1,0,7
1291,37,Yes,Travel_Rarely,370,,10,4,Medical,1,1809,4,,58,,2,,1,Single,4213,4992,1,Y,No,,3,2,80,0,10,4,1,10,3,,8
1292,39,No,Travel_Frequently,766,Sales,20,3,Life Sciences,,1812,3,Male,83,,2,Sales Executive,4,Divorced,4127,19188,2,Y,,18,3,4,80,1,7,,,2,1,2,2
1293,43,No,Non-Travel,343,,,3,,1,,,Male,52,3,1,Research Scientist,3,Single,2438,24978,4,Y,No,,,3,80,0,7,,2,3,2,1,2
